Otip_IV	5669	25939	Otip_V	10812542	10792234
Otip_V	10792234	10812542	Otip_IV	25939	5669
Otip_I	8864480	8883393	Otip_X	11288532	11307422
Otip_X	11288532	11307422	Otip_I	8864480	8883393
Otip_IV	9511	25941	Otip_X	11304962	11288555
Otip_X	11288555	11304962	Otip_IV	25941	9511
Otip_I	8864503	8880910	Otip_IV	25941	9511
Otip_IV	9511	25941	Otip_I	8880910	8864503
Otip_X	11288529	11304708	Otip_V	10792207	10808478
Otip_I	8864480	8880656	Otip_V	10792210	10808478
Otip_V	10792207	10808478	Otip_X	11288529	11304708
Otip_V	10792210	10808478	Otip_I	8864480	8880656
Otip_X	19078	27870	Otip_X	11288371	11279594
Otip_X	11279594	11288371	Otip_X	27870	19078
Otip_V	10787117	10792203	Otip_X	11279038	11284125
Otip_X	11279038	11284125	Otip_V	10787117	10792203
Otip_II	15059	20708	Otip_IV	20063	25734
Otip_IV	20063	25734	Otip_II	15059	20708
Otip_I	14745	19812	Otip_X	24736	29797
Otip_X	24736	29797	Otip_I	14745	19812
Otip_V	26053	30902	Otip_V	21162	26001
Otip_V	21162	26001	Otip_V	26053	30902
Otip_III	9613496	9618503	Otip_X	11277823	11282893
Otip_X	11277823	11282893	Otip_III	9613496	9618503
Otip_II	15059	20705	Otip_V	10798181	10792492
Otip_V	10792492	10798181	Otip_II	20705	15059
Otip_II	9005208	9010174	Otip_IV	34058	29069
Otip_IV	29069	34058	Otip_II	9010174	9005208
Otip_V	10787671	10792203	Otip_X	27870	23326
Otip_X	23326	27870	Otip_V	10792203	10787671
Otip_I	15425	19813	Otip_I	10363	14744
Otip_I	10363	14744	Otip_I	15425	19813
Otip_II	15059	20708	Otip_X	11294403	11288761
Otip_X	11288761	11294403	Otip_II	20708	15059
Otip_II	15059	20708	Otip_I	8870352	8864710
Otip_I	8864710	8870352	Otip_II	20708	15059
Otip_I	10363	14743	Otip_X	25416	29797
Otip_X	25416	29797	Otip_I	10363	14743
Otip_III	9614193	9618503	Otip_V	10786641	10790971
Otip_V	10786641	10790971	Otip_III	9614193	9618503
Otip_X	7890	11719	Otip_X	7066	10894
Otip_X	7066	10894	Otip_X	7890	11719
Otip_X	24573	27870	Otip_III	9618503	9615205
Otip_III	9615205	9618503	Otip_X	27870	24573
Otip_I	14745	17879	Otip_III	9618340	9615205
Otip_III	9615205	9618340	Otip_I	17879	14745
Otip_V	10787671	10790808	Otip_I	17879	14745
Otip_I	14745	17879	Otip_V	10790808	10787671
Otip_I	14745	17879	Otip_X	11282730	11279594
Otip_X	11279594	11282730	Otip_I	17879	14745
Otip_X	21241	24256	Otip_III	9621511	9618497
Otip_III	9618497	9621511	Otip_X	24256	21241
Otip_X	8719	11719	Otip_X	7066	10067
Otip_X	7066	10067	Otip_X	8719	11719
Otip_V	10809590	10812550	Otip_X	11306211	11309183
Otip_X	11306211	11309183	Otip_V	10809590	10812550
Otip_III	9618497	9621511	Otip_X	11283210	11286210
Otip_X	11283210	11286210	Otip_III	9618497	9621511
Otip_IV	5669	8610	Otip_X	11309175	11306211
Otip_X	11306211	11309175	Otip_IV	8610	5669
Otip_I	10363	12816	Otip_V	10790128	10787671
Otip_V	10787671	10790128	Otip_I	12816	10363
Otip_I	10363	12816	Otip_III	9617660	9615205
Otip_III	9615205	9617660	Otip_I	12816	10363
Otip_I	10363	12816	Otip_X	11282050	11279594
Otip_X	11279594	11282050	Otip_I	12816	10363
Otip_II	16765	19422	Otip_III	9612975	9610367
Otip_III	9610367	9612975	Otip_II	19422	16765
Otip_III	9610364	9612975	Otip_IV	24428	21766
Otip_IV	21766	24428	Otip_III	9612975	9610364
Otip_X	9549	11719	Otip_X	7066	9237
Otip_X	7066	9237	Otip_X	9549	11719
Otip_III	9610367	9612975	Otip_V	10793830	10796471
Otip_V	10793830	10796471	Otip_III	9610367	9612975
Otip_III	9610401	9612975	Otip_I	8866054	8868645
Otip_I	8866054	8868645	Otip_III	9610401	9612975
Otip_III	9610401	9612975	Otip_X	11290106	11292697
Otip_X	11290106	11292697	Otip_III	9610401	9612975
Otip_III	9604328	9607739	Otip_X	11262108	11265467
Otip_X	11262108	11265467	Otip_III	9604328	9607739
Otip_X	27872	29804	Otip_X	11279781	11277816
Otip_X	11277816	11279781	Otip_X	29804	27872
Otip_I	17881	19812	Otip_X	11279781	11277823
Otip_X	11277823	11279781	Otip_I	19812	17881
Otip_I	12818	14743	Otip_X	11279781	11277823
Otip_X	11277823	11279781	Otip_I	14743	12818
Otip_I	8862319	8864476	Otip_IV	24920	22726
Otip_IV	22726	24920	Otip_I	8864476	8862319
Otip_X	11206989	11208673	Otip_X	11223205	11221518
Otip_X	11221518	11223205	Otip_X	11208673	11206989
Otip_III	9613496	9615390	Otip_X	29797	27872
Otip_X	27872	29797	Otip_III	9615390	9613496
Otip_IV	11182560	11184553	Otip_I	25688	23626
Otip_I	23626	25688	Otip_IV	11184553	11182560
Otip_I	8862318	8864476	Otip_II	19937	17723
Otip_II	17723	19937	Otip_I	8864476	8862318
Otip_I	8862319	8864476	Otip_V	10793335	10795511
Otip_V	10793335	10795511	Otip_I	8862319	8864476
Otip_I	8862359	8864476	Otip_X	11289604	11291735
Otip_X	11289604	11291735	Otip_I	8862359	8864476
Otip_I	8865552	8867683	Otip_I	8862359	8864476
Otip_I	8862359	8864476	Otip_I	8865552	8867683
Otip_X	10377	11719	Otip_X	7066	8408
Otip_X	7066	8408	Otip_X	10377	11719
Otip_III	9610367	9612015	Otip_I	8862812	8864476
Otip_I	8862812	8864476	Otip_III	9610367	9612015
Otip_II	9004283	9005631	Otip_IV	11180561	11181929
Otip_IV	11180561	11181929	Otip_II	9004283	9005631
Otip_III	12757	14114	Otip_IV	33399	34754
Otip_IV	33399	34754	Otip_III	12757	14114
Otip_I	8879530	8881487	Otip_IV	38420	36436
Otip_IV	36436	38420	Otip_I	8881487	8879530
Otip_IV	36436	38420	Otip_X	11305531	11303581
Otip_X	11303581	11305531	Otip_IV	38420	36436
Otip_IV	35930	38025	Otip_IV	7989	10106
Otip_IV	7989	10106	Otip_IV	35930	38025
Otip_IV	8568	10063	Otip_X	11305539	11304050
Otip_X	11304050	11305539	Otip_IV	10063	8568
Otip_IV	8568	10063	Otip_I	8881495	8879999
Otip_I	8879999	8881495	Otip_IV	10063	8568
Otip_I	8884175	8885172	Otip_X	11308180	11309183
Otip_X	11308180	11309183	Otip_I	8884175	8885172
Otip_I	8884175	8885177	Otip_V	10811551	10812556
Otip_V	10811551	10812556	Otip_I	8884175	8885177
Otip_III	9618497	9619428	Otip_V	10791288	10792203
Otip_V	10791288	10792203	Otip_III	9618497	9619428
Otip_X	29796	30667	Otip_X	8228	9099
Otip_X	8228	9099	Otip_X	29796	30667
Otip_I	18920	19813	Otip_III	9614384	9613495
Otip_III	9613495	9614384	Otip_I	19813	18920
Otip_X	29796	30667	Otip_X	9057	9929
Otip_X	9057	9929	Otip_X	29796	30667
Otip_X	29796	30667	Otip_X	9887	10757
Otip_X	9887	10757	Otip_X	29796	30667
Otip_I	13853	14745	Otip_III	9614384	9613494
Otip_III	9613494	9614384	Otip_I	14745	13853
Otip_X	29796	30667	Otip_X	10715	11582
Otip_X	10715	11582	Otip_X	29796	30667
Otip_I	17881	18883	Otip_III	9615390	9614351
Otip_III	9614351	9615390	Otip_I	18883	17881
Otip_IV	11180560	11181502	Otip_III	14412	13483
Otip_III	13483	14412	Otip_IV	11181502	11180560
Otip_X	29796	30667	Otip_X	7403	8270
Otip_X	7403	8270	Otip_X	29796	30667
Otip_I	12818	13816	Otip_III	9615390	9614351
Otip_III	9614351	9615390	Otip_I	13816	12818
Otip_IV	37167	38434	Otip_IV	9650	10903
Otip_IV	9650	10903	Otip_IV	37167	38434
Otip_IV	5669	6650	Otip_I	8885164	8884175
Otip_I	8884175	8885164	Otip_IV	6650	5669
Otip_II	9001919	9003093	Otip_I	8880982	8882154
Otip_I	8880982	8882154	Otip_II	9001919	9003093
Otip_II	9001919	9003093	Otip_X	11305034	11306193
Otip_X	11305034	11306193	Otip_II	9001919	9003093
Otip_V	10808119	10810209	Otip_IV	38025	35931
Otip_IV	35931	38025	Otip_V	10810209	10808119
Otip_V	10807340	10808478	Otip_IV	38430	37288
Otip_IV	37288	38430	Otip_V	10808478	10807340
Otip_V	10808162	10809624	Otip_X	11304050	11305531
Otip_X	11304050	11305531	Otip_V	10808162	10809624
Otip_III	13483	14411	Otip_II	9005205	9004283
Otip_II	9004283	9005205	Otip_III	14411	13483
Otip_I	8861461	8862303	Otip_IV	25935	25073
Otip_IV	25073	25935	Otip_I	8862303	8861461
Otip_I	8879999	8881487	Otip_V	10808162	10809624
Otip_V	10808162	10809624	Otip_I	8879999	8881487
Otip_I	12818	13558	Otip_V	10787857	10787117
Otip_V	10787117	10787857	Otip_I	13558	12818
Otip_V	10787117	10787857	Otip_I	18621	17881
Otip_I	17881	18621	Otip_V	10787857	10787117
Otip_IV	26521	27305	Otip_V	26519	27300
Otip_V	26519	27300	Otip_IV	26521	27305
Otip_V	10787117	10787857	Otip_X	28612	27872
Otip_X	27872	28612	Otip_V	10787857	10787117
Otip_IV	26521	27305	Otip_V	21627	22406
Otip_V	21627	22406	Otip_IV	26521	27305
Otip_I	8882172	8883393	Otip_V	10809590	10810797
Otip_V	10809590	10810797	Otip_I	8882172	8883393
Otip_IV	7399	8610	Otip_I	8883393	8882172
Otip_I	8882172	8883393	Otip_IV	8610	7399
Otip_IV	25937	26630	Otip_V	20915	21613
Otip_V	20915	21613	Otip_IV	25937	26630
Otip_IV	11180862	11181502	Otip_IV	34754	34129
Otip_IV	34129	34754	Otip_IV	11181502	11180862
Otip_II	9002657	9003574	Otip_V	10809256	10810210
Otip_V	10809256	10810210	Otip_II	9002657	9003574
Otip_IV	7990	8941	Otip_II	9003574	9002657
Otip_II	9002657	9003574	Otip_IV	8941	7990
Otip_I	8864509	8865409	Otip_I	8861461	8862303
Otip_I	8861461	8862303	Otip_I	8864509	8865409
Otip_I	8861461	8862303	Otip_X	11288561	11289461
Otip_X	11288561	11289461	Otip_I	8861461	8862303
Otip_IV	11181997	11182638	Otip_I	26817	26176
Otip_I	26176	26817	Otip_IV	11182638	11181997
Otip_X	11202	11719	Otip_X	7066	7581
Otip_X	7066	7581	Otip_X	11202	11719
Otip_III	9600729	9601416	Otip_X	11252974	11253685
Otip_X	11252974	11253685	Otip_III	9600729	9601416
Otip_III	12757	13412	Otip_II	9005830	9005208
Otip_II	9005208	9005830	Otip_III	13412	12757
Otip_IV	27321	27870	Otip_X	11277823	11277272
Otip_X	11277272	11277823	Otip_IV	27870	27321
Otip_III	9613006	9613495	Otip_I	8868960	8869447
Otip_I	8868960	8869447	Otip_III	9613006	9613495
Otip_III	9613006	9613495	Otip_X	11293012	11293499
Otip_X	11293012	11293499	Otip_III	9613006	9613495
Otip_V	10786716	10787212	Otip_X	11278845	11279338
Otip_X	11278845	11279338	Otip_V	10786716	10787212
Otip_V	10786716	10787212	Otip_X	28805	28311
Otip_X	28311	28805	Otip_V	10787212	10786716
Otip_I	8861665	8862303	Otip_V	10792548	10793180
Otip_V	10792548	10793180	Otip_I	8861665	8862303
Otip_II	15965	16517	Otip_III	9613495	9612966
Otip_III	9612966	9613495	Otip_II	16517	15965
Otip_II	9009673	9010173	Otip_II	9009605	9010105
Otip_II	9009605	9010105	Otip_II	9009673	9010173
Otip_II	9007212	9007918	Otip_II	8999824	9000484
Otip_II	8999824	9000484	Otip_II	9007212	9007918
Otip_II	8999824	9000484	Otip_IV	32017	31310
Otip_IV	31310	32017	Otip_II	9000484	8999824
