#Otip_chr	start	end	meanCov
Otip_I	0	9999	68.9251
Otip_I	10000	19999	27.9641
Otip_I	20000	29999	75.9658
Otip_I	30000	39999	212.078
Otip_I	40000	49999	217.7631
Otip_I	50000	59999	210.7283
Otip_I	60000	69999	205.5762
Otip_I	70000	79999	217.2516
Otip_I	80000	89999	231.5243
Otip_I	90000	99999	227.7406
Otip_I	100000	109999	213.7141
Otip_I	110000	119999	216.693
Otip_I	120000	129999	200.3195
Otip_I	130000	139999	218.2784
Otip_I	140000	149999	207.4288
Otip_I	150000	159999	204.5245
Otip_I	160000	169999	192.6594
Otip_I	170000	179999	213.0487
Otip_I	180000	189999	220.1807
Otip_I	190000	199999	203.5734
Otip_I	200000	209999	197.5878
Otip_I	210000	219999	214.2903
Otip_I	220000	229999	199.8025
Otip_I	230000	239999	192.5916
Otip_I	240000	249999	209.3825
Otip_I	250000	259999	203.708
Otip_I	260000	269999	227.3627
Otip_I	270000	279999	202.2574
Otip_I	280000	289999	216.3257
Otip_I	290000	299999	212.1041
Otip_I	300000	309999	207.3358
Otip_I	310000	319999	203.2045
Otip_I	320000	329999	213.3996
Otip_I	330000	339999	216.4578
Otip_I	340000	349999	222.1609
Otip_I	350000	359999	208.3285
Otip_I	360000	369999	224.1771
Otip_I	370000	379999	227.0393
Otip_I	380000	389999	225.8436
Otip_I	390000	399999	220.0509
Otip_I	400000	409999	239.2462
Otip_I	410000	419999	215.7201
Otip_I	420000	429999	197.7872
Otip_I	430000	439999	217.1889
Otip_I	440000	449999	203.8702
Otip_I	450000	459999	209.373
Otip_I	460000	469999	208.7646
Otip_I	470000	479999	223.3184
Otip_I	480000	489999	210.6294
Otip_I	490000	499999	208.389
Otip_I	500000	509999	227.5572
Otip_I	510000	519999	209.9193
Otip_I	520000	529999	207.3527
Otip_I	530000	539999	217.044
Otip_I	540000	549999	219.0432
Otip_I	550000	559999	204.7954
Otip_I	560000	569999	201.1844
Otip_I	570000	579999	218.1472
Otip_I	580000	589999	223.3089
Otip_I	590000	599999	216.8116
Otip_I	600000	609999	210.5886
Otip_I	610000	619999	210.1197
Otip_I	620000	629999	218.0121
Otip_I	630000	639999	223.1563
Otip_I	640000	649999	206.0656
Otip_I	650000	659999	219.0721
Otip_I	660000	669999	239.3263
Otip_I	670000	679999	214.9418
Otip_I	680000	689999	210.3362
Otip_I	690000	699999	210.8282
Otip_I	700000	709999	213.3306
Otip_I	710000	719999	212.9771
Otip_I	720000	729999	213.4085
Otip_I	730000	739999	215.2545
Otip_I	740000	749999	215.9486
Otip_I	750000	759999	229.1953
Otip_I	760000	769999	213.2194
Otip_I	770000	779999	200.5713
Otip_I	780000	789999	207.4497
Otip_I	790000	799999	210.3358
Otip_I	800000	809999	214.9272
Otip_I	810000	819999	210.9023
Otip_I	820000	829999	208.3493
Otip_I	830000	839999	220.3063
Otip_I	840000	849999	219.8897
Otip_I	850000	859999	223.3425
Otip_I	860000	869999	207.539
Otip_I	870000	879999	201.1759
Otip_I	880000	889999	230.7104
Otip_I	890000	899999	221.1284
Otip_I	900000	909999	223.0144
